"id","student_id","course_id","course_schedule_id","admission_date","amount","discount","payment_status","payment_id","next_payment_date","status","created_at","updated_at"
"1","1","42","83","0000-00-00","0.00","0.00","pending","1","2024-09-29","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"2","2","43","85","0000-00-00","0.00","0.00","pending","2","2024-09-29","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"3","3","1","18","0000-00-00","0.00","0.00","pending","3","2024-09-29","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"4","4","44","84","0000-00-00","0.00","0.00","pending","4","2024-09-29","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"5","5","1","18","0000-00-00","0.00","0.00","pending","5","2024-09-29","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"6","6","1","18","0000-00-00","0.00","0.00","pending","6","2024-09-29","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"7","7","45","86","2022-08-04","0.00","0.00","pending",NULL,"2024-09-29","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"8","8","46","87","2022-08-09","0.00","0.00","pending","8","2024-09-29","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"9","9","45","86","2022-08-09","0.00","0.00","pending","9","2024-09-29","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"10","10","47","88","2022-08-10","0.00","0.00","pending","10","2024-09-29","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"11","11","48","89","2022-08-10","0.00","0.00","pending","11","2024-09-29","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"12","12","49","90","2022-08-12","0.00","0.00","pending","12","2024-09-29","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"13","13","49","90","2022-08-13","0.00","0.00","pending","13","2024-09-29","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"14","14","50","91","2022-08-13","0.00","0.00","pending","14","2024-09-29","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"15","15","51","92","2022-08-13","0.00","0.00","pending","15","2024-09-29","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"16","16","52","93","2022-08-19","0.00","0.00","pending","16","2024-09-29","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"17","17","49","90","2022-08-20","0.00","0.00","pending","17","2024-09-29","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"18","18","49","90","2022-08-20","0.00","0.00","pending","18","2024-09-29","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"19","19","53","94","2022-08-26","0.00","0.00","pending","19","2024-09-29","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"20","20","54","95","2022-08-26","0.00","0.00","pending","20","2024-09-29","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"21","21","55","96","2022-08-27","0.00","0.00","pending","21","2024-09-29","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"22","22","56","97","2022-08-29","0.00","0.00","pending","22","2024-09-29","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"23","23","49","90","2022-08-29","0.00","0.00","pending","23","2024-09-29","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"24","24","57","98","2022-09-17","0.00","0.00","pending","0","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"25","25","58","99","2022-09-20","0.00","0.00","pending","0","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"26","26","59","100","2022-09-28","0.00","0.00","pending","0","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"27","27","57","98","2022-09-29","0.00","0.00","pending","0","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"28","28","61","101","2022-09-29","0.00","0.00","pending","0","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"29","29","57","98","2022-09-30","0.00","0.00","pending","0","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"30","30","63","102","2022-09-30","0.00","0.00","pending","0","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"31","31","64","103","2022-09-30","0.00","0.00","pending","0","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"32","32","65","104","2022-09-30","0.00","0.00","pending","0","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"33","33","59","100","2022-09-30","0.00","0.00","pending","0","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"34","34","66","105","2022-10-06","0.00","0.00","pending","0","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"35","35","66","105","2022-10-07","0.00","0.00","pending","0","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"36","36","67","107","2022-10-12","0.00","0.00","pending","0","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"37","37","66","105","2022-10-14","0.00","0.00","pending","0","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"38","38","66","105","2022-10-14","0.00","0.00","pending","0","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"39","39","68","110","2022-10-16","0.00","0.00","pending","0","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"40","40","69","111","2022-10-18","0.00","0.00","pending","0","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"41","41","70","112","2022-10-19","0.00","0.00","pending","0","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"42","42","71","113","2022-10-21","0.00","0.00","pending","0","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"43","43","66","105","2022-10-21","0.00","0.00","pending","0","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"44","44","66","105","2022-10-26","0.00","0.00","pending","0","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"45","45","72","116","2022-10-26","0.00","0.00","pending","0","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"46","46","66","105","2022-10-27","0.00","0.00","pending","0","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"47","47","71","113","2022-10-28","0.00","0.00","pending","0","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"48","48","69","111","2022-10-29","0.00","0.00","pending","0","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"49","49","66","105","2022-10-29","0.00","0.00","pending","0","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"50","50","67","107","2022-10-31","0.00","0.00","pending","0","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"51","51","68","110","2022-10-31","0.00","0.00","pending","0","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"52","52","73","123","2022-10-31","0.00","0.00","pending","0","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"53","53","66","105","2022-10-31","0.00","0.00","pending","0","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"54","54","73","123","2022-10-31","0.00","0.00","pending","0","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"55","55","66","105","2022-10-31","0.00","0.00","pending","0","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"56","56","66","105","2022-10-31","0.00","0.00","pending","0","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"57","57","134","184","2022-11-03","0.00","0.00","pending","57","2024-09-29","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"58","58","74","124","2022-11-07","0.00","0.00","pending","58","2024-09-29","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
